192.99.47.156 - - [05/Jul/2016:02:03:35 -0400] "GET / HTTP/1.1" 200 9206 "http://46.101.88.165" "Go-http-client/1.1"
192.99.47.156 - - [05/Jul/2016:02:03:35 -0400] "GET / HTTP/1.1" 200 9206 "http://46.101.88.165" "Go-http-client/1.1"
192.99.47.156 - - [05/Jul/2016:02:03:36 -0400] "GET /readme.html HTTP/1.1" 404 4942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:36 -0400] "GET /CHANGELOG.txt HTTP/1.1" 404 4942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:36 -0400] "GET /contact/ HTTP/1.1" 200 8271 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
169.229.3.91 - - [05/Jul/2016:04:12:38 -0400] "\xE1\xB8\x91\xFEy\xC9\x12\x01\x81Lf\xCA\x1EGn\x01\xBC\x9AR\x9A\xBES\xB0\xEC<\x22\xD4\xBA\x94aT\x22q#\xFD\xC3PiQe.\x16\x01x8\xC4\x5C\xD0{\xB6K+\x05\x10Z\xA6y}c\x8FVE\xF0\xC4" 400 181 "-" "-"
127.0.0.1 - - [05/Jul/2016:06:12:43 -0400] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/51.0.2704.79 Chrome/51.0.2704.79 Safari/537.36"
127.0.0.1 - - [05/Jul/2016:06:12:43 -0400] "GET / HTTP/1.1" 200 9203 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/51.0.2704.79 Chrome/51.0.2704.79 Safari/537.36"
127.0.0.1 - - [05/Jul/2016:06:12:43 -0400] "GET /app/plugins/shiftnav-responsive-mobile-menu/assets/css/fontawesome/css/font-awesome.min.css?ver=1.4 HTTP/1.1" 200 27466 "http://prod.abc.co/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/51.0.2704.79 Chrome/51.0.2704.79 Safari/537.36"
127.0.0.1 - - [05/Jul/2016:06:12:43 -0400] "GET /app/plugins/shiftnav-responsive-mobile-menu/assets/css/shiftnav.min.css?ver=1.4 HTTP/1.1" 200 16561 "http://prod.abc.co/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/51.0.2704.79 Chrome/51.0.2704.79 Safari/537.36"
